goods_id,goods_name,cat_id,shop_price,shop_price,no_deal_price,dress_type,price_symbol,goods_sn,market_price
1002981,Azazie Belladonna MBD,8,10,10,10,sample,$,SN1552893085638,1000.00
1053321,Azazie Ferris MBD,8,10,10,10,sample,$,SN1625450245541,1.00
1006348,Azazie Birdie MBD,8,10,10,10,sample,$,SN1588046121349,1000.00
1002497,Azazie Olivia MBD,8,10,10,10,sample,$,SN1545030491880,1000.00
1006276,Azazie Laurie MBD,8,10,10,10,sample,$,SN1588046121348,1000.00
1007993,Azazie Mirielle MBD,8,10,10,10,sample,$,SN1596090883725,1000.00
1003530,Azazie Snapdragon MBD,8,10,10,10,sample,$,SN1570513198429,1000.00
1003524,Azazie Hayek MBD,8,10,10,10,sample,$,SN1570513130768,1000.00
1053349,Azazie Marge MBD,8,10,10,10,sample,$,SN1625450245541,1.00
1008038,Azazie Dunja MBD,8,10,10,10,sample,$,SN1596162698063,1000.00
1003600,Azazie Blanchett MBD,8,10,10,10,sample,$,SN1571019083502,1000.00
1002945,Azazie Star MBD,8,10,10,10,sample,$,SN1552892615947,1000.00
1006264,Azazie Selah MBD,8,10,10,10,sample,$,SN1588046121348,1000.00
1003441,Azazie Cornish MBD,8,10,10,10,sample,$,SN1567494071944,1000.00
1053303,Azazie Calanthe MBD,8,10,10,10,sample,$,SN1625450245541,1000.00
1006268,Azazie Maura Jumpsuit,8,10,10,10,sample,$,SN1588046121348,1.00
1008082,Azazie Macy MBD,8,10,10,10,sample,$,SN1596162698063,1.00
1008037,Azazie Sanna MBD,8,10,10,10,sample,$,SN1596162698062,1.00
1006334,Azazie Tyra MBD,8,10,10,10,sample,$,SN1588046121349,1000.00
1005511,Azazie Shirley MBD,8,10,10,10,sample,$,SN1586145059361,1000.00
1003596,Azazie Weisz MBD,8,10,10,10,sample,$,SN1571019041038,1000.00
1002957,Azazie Dionysus MBD,8,10,10,10,sample,$,SN1552892840706,1000.00
1027590,Azazie Cavell MBD,8,10,10,10,sample,$,SN1604540156326,1000.00
1027642,Azazie Lunda MBD,8,10,10,10,sample,$,SN1604540156327,1000.00
1003527,Azazie Morning Glory MBD,8,10,10,10,sample,$,SN1570513162194,1000.00
1003957,Azazie Dorothea MBD,8,10,10,10,sample,$,SN1572407518333,1000.00
1002986,Azazie Gypsy MBD,8,10,10,10,sample,$,SN1552893162998,1000.00
1008033,Azazie Marbella MBD,8,10,10,10,sample,$,SN1596162698062,1.00
1006346,Azazie Perry MBD,8,10,10,10,sample,$,SN1588046121349,1000.00
1006325,Azazie Amethyst MBD,8,10,10,10,sample,$,SN1588046121349,1.00
